generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,92,0.0007339591248291777,0.0009684191071468126,0.0008491342022106539,5.220419497507487e-05
1,84,0.0007339591248291777,0.0009331648102367648,0.0008390226557297932,5.2676158405497475e-05
2,92,0.0007339591248291777,0.0009331648102367648,0.0008513856643614256,5.013311499028986e-05
3,90,0.0007339591248291777,0.0009331648102367648,0.000855243396340871,4.925642662411027e-05
4,86,0.0007339591248291777,0.0009185654527550348,0.0008558323755838994,4.556311127195135e-05
5,84,0.0007339591248291777,0.0009185654527550348,0.0008611466054365858,4.469169671116936e-05
6,94,0.0007339591248291777,0.0009185654527550348,0.0008671623488639096,4.230930508147892e-05
7,80,0.0007702992777787854,0.0009185654527550348,0.0008730315637462572,3.877679984466903e-05
8,92,0.0007702992777787854,0.0009185654527550348,0.0008738416888071386,4.062778585738817e-05
9,82,0.0007702992777787854,0.0009117335621927238,0.0008772113574263044,3.482282469606185e-05
10,81,0.0007702992777787854,0.0009117335621927238,0.0008751649836275553,3.32592636804661e-05
11,82,0.0007702992777787854,0.0009117335621927238,0.0008785730512965291,3.463637344452056e-05
12,90,0.0007702992777787854,0.0009117335621927238,0.0008785881893455829,3.4758621278262046e-05
13,88,0.0007702992777787854,0.0009117335621927238,0.0008826063554408292,3.217741849047459e-05
14,80,0.0008377050672119489,0.0009117335621927238,0.0008893247795290982,2.8540775247228227e-05
15,82,0.0008377050672119489,0.0009117335621927238,0.0008886757435829675,2.83069392079207e-05
16,89,0.0008377050672119489,0.0009117335621927238,0.0008903006748363894,2.7261332011175645e-05
17,82,0.0008377050672119489,0.0009117335621927238,0.0008899307492081389,2.7938081283382757e-05
18,77,0.0008377050672119489,0.0009117335621927238,0.0008898405466385269,2.499351568592672e-05
19,85,0.0008377050672119489,0.0009117335621927238,0.0008917996688789932,2.221763905815659e-05
20,94,0.0008377050672119489,0.0009117335621927238,0.000891781752533338,2.3493712366211016e-05
21,85,0.0008377050672119489,0.0009117335621927238,0.0008939864022887774,2.254755148409154e-05
22,78,0.0008377050672119489,0.0009117335621927238,0.0008935049352419174,2.223008702116031e-05
23,84,0.0008377050672119489,0.0009117335621927238,0.0008934201283910181,2.2086938598850075e-05
24,88,0.0008377050672119489,0.0009117335621927238,0.0008921815325211844,2.394114245343266e-05
25,84,0.0008377050672119489,0.0009117335621927238,0.0008950113723226298,1.9504531888168256e-05
26,82,0.0008377050672119489,0.0009117335621927238,0.0008946164233783406,1.8764278107434087e-05
27,75,0.0008377050672119489,0.0009117335621927238,0.0008982784619508773,1.563507019643569e-05
28,88,0.0008377050672119489,0.0009117335621927238,0.0008967728687352228,1.5587276051016794e-05
29,87,0.0008377050672119489,0.0009117335621927238,0.0008986237979563952,1.3559617229102518e-05
30,88,0.0008377050672119489,0.0009117335621927238,0.0009010016148988247,1.3566450514721352e-05
31,86,0.0008377050672119489,0.0009117335621927238,0.0009005212203244535,1.3852952462595814e-05
32,81,0.0008377050672119489,0.0009117335621927238,0.0009018313326572124,1.5118975856234334e-05
33,96,0.0008377050672119489,0.0009117335621927238,0.000903903199770626,1.4972363624536031e-05
34,82,0.0008377050672119489,0.0009117335621927238,0.0009049709043802968,1.3199627397049927e-05
35,88,0.0008789915962064152,0.0009117335621927238,0.0009048389656033294,1.1525690689842595e-05
36,78,0.0008789915962064152,0.0009117335621927238,0.0009054938049230552,1.0954529222741855e-05
37,82,0.0008789915962064152,0.0009117335621927238,0.0009069564584770157,9.249694127441947e-06
38,90,0.0008789915962064152,0.0009117335621927238,0.0009071738428840649,9.68564728502416e-06
39,78,0.0008789915962064152,0.0009117335621927238,0.0009080460666108401,9.262272682574051e-06
40,94,0.0008789915962064152,0.0009117335621927238,0.0009097475744026964,7.466181297618159e-06
41,80,0.0008789915962064152,0.0009117335621927238,0.0009091142049138173,8.882672704751945e-06
42,74,0.0008789915962064152,0.0009117335621927238,0.0009097690442335435,7.775786094609673e-06
43,84,0.0008789915962064152,0.0009117335621927238,0.0009091142049138173,8.882672704751945e-06
44,84,0.0008789915962064152,0.0009117335621927238,0.0009104238835532697,6.416088787544101e-06
45,78,0.0008789915962064152,0.0009117335621927238,0.0009107513032131327,5.5853609909295484e-06
46,88,0.0008789915962064152,0.0009117335621927238,0.0009110787228729958,4.583875238364768e-06
47,90,0.0008789915962064152,0.0009117335621927238,0.0009107513032131327,5.5853609909295484e-06
48,90,0.0008789915962064152,0.0009117335621927238,0.0009104238835532697,6.416088787544101e-06
49,83,0.0008789915962064152,0.0009117335621927238,0.0009091142049138173,8.882672704751945e-06
50,80,0.0008789915962064152,0.0009117335621927238,0.0009084593655940912,9.822589796009112e-06
51,78,0.0008789915962064152,0.0009117335621927238,0.0009100964638934065,7.135946047523495e-06
52,90,0.0008789915962064152,0.0009117335621927238,0.0009097690442335435,7.775786094609673e-06
53,84,0.0008789915962064152,0.0009117335621927238,0.0009091142049138173,8.882672704740024e-06
54,92,0.0008789915962064152,0.0009117335621927238,0.0009091142049138173,8.882672704751945e-06
55,79,0.0008789915962064152,0.0009117335621927238,0.0009091142049138173,8.882672704751945e-06
56,86,0.0008789915962064152,0.0009117335621927238,0.0009097690442335435,7.775786094609673e-06
57,89,0.0008789915962064152,0.0009117335621927238,0.0009094416245736804,8.354014934046214e-06
58,79,0.0008789915962064152,0.0009117335621927238,0.0009094416245736804,8.354014934046214e-06
59,85,0.0008789915962064152,0.0009117335621927238,0.0009100964638934065,7.135946047523495e-06
60,90,0.0008789915962064152,0.0009117335621927238,0.0009100964638934065,7.135946047530914e-06
61,90,0.0008789915962064152,0.0009117335621927238,0.0009107513032131327,5.5853609909295484e-06
62,86,0.0008789915962064152,0.0009117335621927238,0.0009107513032131327,5.5853609909295484e-06
63,77,0.0008789915962064152,0.0009117335621927238,0.0009104238835532697,6.416088787544101e-06
64,90,0.0008789915962064152,0.0009117335621927238,0.0009107513032131327,5.5853609909295484e-06
65,80,0.0008789915962064152,0.0009117335621927238,0.0009100964638934065,7.135946047523495e-06
66,90,0.0008789915962064152,0.0009117335621927238,0.0009104238835532697,6.416088787544101e-06
67,86,0.0008789915962064152,0.0009117335621927238,0.0009094416245736804,8.35401493403354e-06
68,84,0.0008789915962064152,0.0009117335621927238,0.0009100964638934065,7.135946047523495e-06
69,84,0.0008789915962064152,0.0009117335621927238,0.0009110787228729958,4.583875238330121e-06
70,89,0.0008789915962064152,0.0009117335621927238,0.0009114061425328589,3.257784482624922e-06
71,83,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
72,85,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
73,82,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
74,86,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
75,87,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
76,85,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
77,85,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
78,87,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
79,86,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
80,72,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
81,74,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
82,82,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
83,80,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
84,82,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
85,84,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
86,74,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
87,82,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
88,83,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
89,84,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
90,84,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
91,88,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
92,86,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
93,83,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
94,88,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
95,86,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
96,87,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
97,76,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
98,78,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
99,88,0.0009117335621927238,0.0009117335621927238,0.0009117335621927219,5.0409313045933295e-11
